callsign,lat,lon,website,logo
WDAY-TV,47.00775,-97.20092,http://www.wday.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/22129/tv
WBNG-TV,42.05869,-75.95131,http://www.wbng.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/23337/tv
WGBC,32.32778,-88.69193,http://wgbctv.com/#nbc,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24314/tv
WCYB-TV,36.44956,-82.10791,http://www.wcyb.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/2455/tv
WEEK-TV,40.62945,-89.54804,http://www.week.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24801/tv
KVEW,46.10319,-119.13362,http://www.kvewtv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/2495/tv
WBZ-TV,42.31038,-71.23672,http://cbsboston.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/25456/tv
KESQ-TV,33.86613,-116.4364,http://www.kesq.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/25577/tv
WGME-TV,43.92452,-70.49061,http://www.wgme.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/25683/tv
WGBA-TV,44.35833,-87.9801,http://www.nbc26.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/2708/tv
WEUX,44.95663,-91.66767,http://www.wiproud.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/2709/tv
WLAX,43.80445,-91.37216,http://www.wiproud.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/2710/tv
WVXF,18.35523,-64.94681,http://www.wvxftv.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/3113/tv
KZTV,27.70806,-97.63333,http://www.kztv10.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/33079/tv
KADN-TV,30.36242,-92.21485,http://www.kadn.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/33261/tv
KFBB-TV,47.53551,-111.2847,http://www.kfbb.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/34412/tv
KLFY-TV,30.32215,-92.28318,http://www.klfy.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35059/tv
KTBS-TV,32.68584,-93.93368,http://www.ktbs.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35652/tv
KTRK-TV,29.5744,-95.49383,http://www.abc13.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35675/tv
KWTX-TV,31.32212,-97.31751,http://www.kwtx.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35903/tv
KXAN-TV,30.32604,-97.79973,http://www.kxan.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35920/tv
WVII-TV,44.75979,-68.56642,http://www.wvii.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/3667/tv
WLOV-TV,33.79445,-89.08779,http://www.wlov.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/37732/tv
WBRZ-TV,30.29686,-91.19372,http://WWW.WBRZ.COM,https://publicfiles.fcc.gov/api/manager/download/entity/logo/38616/tv
WANE-TV,41.09394,-85.17997,http://www.wane.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/39270/tv
KGTV,32.83894,-117.24976,http://www.10news.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/40876/tv
WSMV-TV,36.14089,-86.86556,http://www.wsmv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/41232/tv
KHON-TV,21.291,-157.83559,http://www.khon2.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/4144/tv
WNDU-TV,41.6056,-86.21278,http://www.wndu.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/41674/tv
WVAH-TV,38.40787,-81.90347,http://www.wvah.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/417/tv
KRGV-TV,26.10099,-97.83958,http://www.krgv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/43328/tv
KTMJ-CD,39.06389,-95.76387,http://www.ksnt.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/43649/tv
WCAX-TV,44.52561,-72.81568,http://www.wcax.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/46728/tv
WTOK-TV,32.32737,-88.69116,http://www.wtok.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/4686/tv
WHSV-TV,38.60151,-78.63224,http://www.whsv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/4688/tv
KHQA-TV,39.97282,-91.33181,http://www.khqa.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/4690/tv
